trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.85, 'e': 0.00108541265304656}",20,0,12.588287744536947,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.85, 'e': 0.0009226007550895759}",20,10,17.32873139081245,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.85, 'e': 0.0007842106418261395}",20,1,2.1572463487801206,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
45,False,"{'a': 0.85, 'e': 0.0006665790455522185}",35,0,39.839527967571975,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.85, 'e': 0.0005665921887193857}",25,0,34.117702237128995,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.85, 'e': 0.00048160336041147783}",30,24,10.532613688200245,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.85, 'e': 0.00040936285634975616}",25,11,23.55404761192834,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.85, 'e': 0.00034795842789729273}",20,0,25.46812515976364,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.85, 'e': 0.0002957646637126988}",20,3,25.658700000373408,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.85, 'e': 0.00025139996415579396}",20,0,28.733095087880436,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.85, 'e': 0.00021368996953242486}",30,19,15.83891049136079,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.85, 'e': 0.00018163647410256113}",20,9,-24.509899276722027,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
54,False,"{'a': 0.85, 'e': 0.00015439100298717695}",25,11,24.555071369057426,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.85, 'e': 0.0001312323525391004}",20,16,6.957652290434957,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.85, 'e': 0.00011154749965823534}",20,0,23.906804138047832,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
